Model,EOL Date,EOSL Date
Catalyst 5000 Token Ring Switch Module,"June 30, 2003","June 30, 2008"
12000 Series 1-Port Gigabit Ethernet Line Card,"March 30, 2003","March 30, 2008"
Catalyst 3900 ATM Modules,"Feb 13, 2003","Feb 13, 2008"
Catalyst 3900 Token Ring Copper and Fiber Modules,"Feb 13, 2003","Feb 13, 2008"
Catalyst 3900 Token Ring ISL Modules,"Feb 13, 2003","Feb 13, 2008"
Catalyst 6500 Series Firewall Services Module,"Sept 26, 2002","Sept 26, 2007"
Cisco MGX 8220 Edge Concentrator,"Sept 03, 2002","Sept 03, 2007"
IGX 8400 Universal Router Module,"Aug 31, 2002","Aug 31, 2007"
Cisco FastHub 412 10 100 Repeater,"Aug 14, 2002","Aug 14, 2007"
12000 Series 10-Port Gigabit Ethernet Line Card,"Aug 02, 2002","Aug 02, 2007"
Cisco ATA 186 Analog Telephone Adaptor,"Aug 01, 2002","Aug 01, 2007"
Cisco FastHub 424M 10 100 Repeater,"July 28, 2002","July 28, 2007"
Cisco FastHub 412M 10 100 Repeater,"July 28, 2002","July 28, 2007"
Catalyst 6500 Series Network Analysis Module (First Generation),"June 27, 2002","June 27, 2007"
PIX 515 Firewall,"May 25, 2002","May 25, 2007"
PIX 506 Firewall,"May 25, 2002","May 25, 2007"
Cisco VCO 4K Open Programmable Switch,"March 02, 2002","March 02, 2007"
Catalyst 6000 Series Supervisor Module with MSFC,"March 01, 2002","March 01, 2007"
Cisco MGX 8240 Private Line Gateway,"Jan 16, 2002","Jan 16, 2007"
7206 Router,"Jan 02, 2002","Jan 02, 2007"
Cisco MGX 8260 Media Gateway,"Dec 29, 2001","Dec 29, 2006"
Cisco WS-C1400 Workgroup Concentrator,"Sept 01, 2001","Sept 01, 2006"
